user,game,genre,hundreds,thousands,millions,followers,following
gloryd,'Grand Theft Auto V',first-person shooter,False,False,False,7702,196
haercy,'',,False,False,False,55980,0
calijavg,'',,False,False,False,93,26
zekeasaur,'',,False,False,False,8,0
undrnourishdego,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,2168,136
hattanatta,'',,False,False,False,8,12
clayton_mcgumrey,'',,False,False,False,14,3
beetlemuncher,'',,False,False,False,101,9
otonashirhythm,'',,False,False,False,1236,19
vanguardstv,'World of Warcraft: Mists of Pandaria',mmorpg,False,False,False,81719,135
domedgmng,'',,False,False,False,456,73
kykysiki,'',,False,False,False,53,24
prettyprime,'Smite',online,False,False,False,30020,40
dataripper,'Talk Shows & Podcasts',adventure,False,False,False,971,157
elloawendy,'The Elder Scrolls Online',online,False,False,False,8646,231
mn_mocha,'',first-person shooter,False,False,False,42107,339
odpixel,'',,False,False,False,61205,52
ameken0413,'',,False,False,False,7157,19
iamsheilaj,'',,False,False,False,311,357
lacari,'',action role-playing,False,False,False,86504,155
darkboss,'',,False,False,False,4,1
zaro309,'',,False,False,False,48,44
rtustreams,'',,False,False,False,18033,4
ran0v0,'',,False,False,False,23,25
pantanal_pastro,'',,False,False,False,1818,89
deadlyone910,'',,False,False,False,187,94
theaecx,'',,False,False,False,73,124
yorekoktv,'',,False,False,False,43348,11
kristi_z,'',,False,False,False,96,0
chillnb,'',,False,False,False,598,56
zarby,'',,False,False,False,7021,71
thevikingbeard,'',,False,False,False,1185,154
b1g_br4d,'World of Warcraft: Mists of Pandaria',mmorpg,False,False,False,1582,94
foch0,'League of Legends',multiplayer  battle arena,False,False,False,7755,177
s0fa_,'Fortnite',survival,False,False,False,3973,116
julimii,'League of Legends',multiplayer  battle arena,False,False,False,12561,29
fairykala,'',,False,False,False,470,176
afterprisonshow,'',,False,False,False,9400,3
sophyaaa,'',,False,False,False,74,152
hockey43boy,'',,False,False,False,10,207
tyr0din,'Dead by Daylight',survival horror,False,False,False,43409,45
olechd,'',,False,False,False,577,855
xd_hammyho,'',,False,False,False,7,14
bleusitri,'',,False,False,False,63,178
rd0s,'',,False,False,False,1800,61
reaper1fr,'',,False,False,False,17,14
bact_,'Age of Empires II: The Conquerors',,False,False,False,10676,41
volticvortex,'SpeedRunners',platform,False,False,False,100,42
khartic,'',,False,False,False,11,29
rdyupgg,'',,False,False,False,791,2
therealarkadian,'League of Legends',multiplayer  battle arena,False,False,False,14992,8
zoomaa,'Call of Duty: Black Ops 4',first-person shooter,False,False,False,84145,23
sophsbadgaming,'',,False,False,False,604,149
finitoogod,'Fortnite',survival,False,False,False,111,21
showvideogames,'Pok\xe9mon X/Y',role-playing video game,False,False,False,91501,702
asusrog,'',,False,False,False,169486,23
luc4o,'League of Legends',multiplayer  battle arena,False,False,False,10193,37
nintendoitalia,'',,False,False,False,1949,0
biasotf,'',,False,False,False,8968,352
lea_charelle,'',,False,False,False,1602,39
ninjapiratetwitch,'Fortnite',survival,False,False,False,2358,78
kyoshi2,'World of Tanks',multiplayer,False,False,False,2366,105
mrhappy1227,'FINAL FANTASY XIV Online',online,False,False,False,73797,207
esportmajestics,'',,False,False,False,796,1
joelthedangerous,"""The Legend of Zelda: Majora's Mask""",action-,False,False,False,366,145
acemodai,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,33649,49
dougzdisney,'',,False,False,False,19035,64
ggvvol,'',,False,False,False,3,84
pistolaaa,'Fortnite',survival,False,False,False,1461,39
dekillsage,'Skullgirls',fighting,False,False,False,10466,464
lorrydriverora,'OpenRA',,False,False,False,155,26
a1taoda,'Dota 2',online,False,False,False,442838,5
bungmonkey,'',,False,False,False,2188,282
k1von3,'World of Warcraft',online,False,False,False,2641,59
squidgame,'The Elder Scrolls V: Skyrim',action role-playing,False,False,False,4343,99
vayne_spot,'',,False,False,False,109,83
trikzzaxos,'',,False,False,False,380,37
